CVCL_4U24	Q54603044
CVCL_4V41	Q54606919
CVCL_4W87	Q54583420
CVCL_4Y35	Q54583382
CVCL_4Y84	Q54584977
CVCL_4Y87	Q54585012
CVCL_5491	Q54608537
CVCL_5968	Q54607171
CVCL_5980	Q54607872
CVCL_5A28	Q54602850
CVCL_5I86	Q54607040
CVCL_5J28	Q54603540
CVCL_6245	Q54606924
CVCL_6351	Q54583889
CVCL_6352	Q54583932
CVCL_6356	Q54585006
CVCL_6364	Q54605909
CVCL_6546	Q54602838
CVCL_6558	Q54605114
CVCL_6561	Q54606751
CVCL_6764	Q54584734
CVCL_6768	Q54605477
CVCL_6810	Q54604939
CVCL_6D20	Q54583742
CVCL_6D33	Q54584615
CVCL_6E68	Q54605637
CVCL_6G30	Q54583883
CVCL_7011	Q54608119
CVCL_7021	Q54608201
CVCL_7031	Q54608230
CVCL_7936	Q54583654
CVCL_8039	Q54581449
CVCL_8048	Q54581940
CVCL_8050	Q54585254
CVCL_8052	Q54603831
CVCL_8054	Q54604356
CVCL_8055	Q54604475
CVCL_8056	Q54604501
CVCL_8057	Q54605333
CVCL_8069	Q54583221
CVCL_8165	Q54604474
CVCL_8169	Q54608860
CVCL_8469	Q54583906
CVCL_8480	Q54602855
CVCL_8622	Q54605819
CVCL_8624	Q54605824
CVCL_8627	Q54584695
CVCL_8777	Q54607229
CVCL_8991	Q54582436
CVCL_8B41	Q54607884
CVCL_8B45	Q54607897
CVCL_8B57	Q54609953
CVCL_8B64	Q54610107
CVCL_9000	Q54584271
CVCL_9002	Q54584277
CVCL_9149	Q54583116
CVCL_9162	Q54603820
CVCL_9470	Q54584478
CVCL_9557	Q54584180
CVCL_9804	Q54608574
CVCL_9V02	Q54581209
CVCL_9V13	Q54582920
CVCL_A064	Q54583060
CVCL_AQ00	Q54606866
CVCL_B037	Q54606588
CVCL_B522	Q54584272
CVCL_B991	Q54604789
CVCL_C520	Q54583094
CVCL_C529	Q54604204
CVCL_D098	Q54604495
CVCL_D101	Q54609413
CVCL_D136	Q54606392
CVCL_D232	Q54603694
CVCL_D235	Q54603701
CVCL_D290	Q54581957
CVCL_D291	Q54585457
CVCL_D315	Q54584482
CVCL_D570	Q54583510
CVCL_D595	Q54607187
CVCL_D602	Q54585147
CVCL_DD95	Q54584744
CVCL_DP70	Q54581750
CVCL_DP72	Q54581936
CVCL_DP95	Q54603013
CVCL_DP96	Q54603018
CVCL_DP98	Q54603176
CVCL_DQ05	Q54603208
CVCL_DQ11	Q54604320
CVCL_DQ38	Q54604965
CVCL_DQ40	Q54605318
CVCL_E146	Q54585560
CVCL_E266	Q54584617
CVCL_E302	Q54607180
CVCL_E365	Q54582605
CVCL_E366	Q54582613
CVCL_E370	Q54583035
CVCL_E385	Q54583276
CVCL_E387	Q54583371
CVCL_E390	Q54583404
CVCL_E391	Q54583412
CVCL_E399	Q54583663
CVCL_E418	Q54605674
CVCL_E428	Q54581028
CVCL_E430	Q54581200
CVCL_E437	Q54583390
CVCL_E446	Q54584827
CVCL_E931	Q54604827
CVCL_E964	Q54581474
CVCL_EG64	Q54606564
CVCL_EQ45	Q54604408
CVCL_EQ67	Q54606915
CVCL_F665	Q54582229
CVCL_F682	Q54606455
CVCL_F697	Q54609460
CVCL_F950	Q54582199
CVCL_F951	Q54604191
CVCL_G092	Q54603503
CVCL_G287	Q54608061
CVCL_G570	Q54581956
CVCL_G575	Q54582611
CVCL_G576	Q54582764
CVCL_G577	Q54582904
CVCL_G579	Q54582943
CVCL_G590	Q54583769
CVCL_G605	Q54603195
CVCL_G609	Q54603217
CVCL_G610	Q54603338
CVCL_G626	Q54605487
